username, leaning
Israel, israel
InbarCohen13, israel
aziz0nomics, israel
MarinaMedvin, israel
visegrad24, israel
DrEliDavid, israel
StopAntisemites, israel
andyayalla, israel
AvivaKlompas, israel
mattlieb, palestine
jacksonhinklle, palestine
WarMonitors, palestine
CensoredMen, palestine
RimabestRima12, palestine
TorahJudaism, palestine
MarioNawfal, center
richimedhurst, palestine
nobel_suzanne, palestine
JonnyFX1, palestine
mikopeled, palestine
dancohen3000, palestine
Truegreta, palestine
IBJIYONGI, palestine
shailjapatel, palestine
AsaWinstanley, palestine
DrLoupis, palestine
realstewpeters, palestine
resistancestan, palestine
AbuHafsah1, palestine
StopZionistHate, palestine
tariq_raouf, palestine
ecomarxi, palestine
MustafaBarghou1, palestine
Naila_Ayad, palestine
Yair_Rosenberg, israel
realMaalouf, israel
mishtal, israel
HenshiG, israel
NoahPollak, israel
Ofirlin, israel
AdinHaykin1, israel
RichardHanania, israel
itsmichalll, israel
DrewPavlou, israel
AlanRMacLeod, palestine
nataliafadeev, israel
gideonle, palestine
YosephHaddad, israel
CensoredVoiceX, palestine
OwenJones84, palestine
JustLuai, israel
AdamAlbilya, israel
EylonALevy, israel
CherylE59628, israel
pwrcns, palestine
ImtiazMadmood, israel
LoganLevkoff, israel
resistance_sa, palestine
shem_kalit, israel
leeonskee, israel
HenMazzig, israel
DefundIsraelNow, palestine
persianjewess, israel
MyRightToExist, israel
DocumentIsrael, israel
anjewla90, israel
AdamRFisher, israel
0xBullabear, israel
LizaRosen0000, israel
HananyaNaftali, israel
leekern13, israel
MyLordBebo, palestine
anna_lippman, palestine
SaraReyi, palestine
SpiritofHo, palestine
REVMAXXING, palestine
HilzFuld, israel 
