username, leaning
resistance_sa, palestine
shem_kalit, israel
realstewpeters, palestine
HilzFuld, israel
SaraReyi, palestine
AsaWinstanley, palestine
AlanRMacLeod, palestine
RimabestRima12, palestine
MustafaBarghou1, palestine
realMaalouf, israel
tariq_raouf, palestine
MyRightToExist, israel
nobel_suzanne, palestine
mikopeled, palestine
ecomarxi, palestine
gideonle, palestine
nataliafadeev, israel
Ofirlin, israel
mattlieb, palestine
resistancestan, palestine
CensoredVoiceX, palestine
InbarCohen13, israel
Yair_Rosenberg, israel
dancohen3000, palestine
